"ab_duration","runtime","image_name","ressource_limit","number_of_targets","targetId","repeat","completed_requests","failed_requests","requests_per_second","request_duration","filepath"
"90","default","go-httpd","default","1","1","12","1963239","0","21813.68","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_12/1.txt"
"90","default","go-httpd","default","1","1","13","1956388","0","21737.45","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_13/1.txt"
"90","default","go-httpd","default","1","1","14","1946158","0","21623.71","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_14/1.txt"
"90","default","go-httpd","default","1","1","15","1963466","0","21816.09","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_15/1.txt"
"90","default","go-httpd","default","1","1","16","1946232","0","21624.55","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_16/1.txt"
"90","default","go-httpd","default","1","1","17","1949583","0","21661.83","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_17/1.txt"
"90","default","go-httpd","default","1","1","18","1954040","0","21711.42","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_18/1.txt"
"90","default","go-httpd","default","1","1","19","1983479","0","22038.45","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_19/1.txt"
"90","default","go-httpd","default","1","1","2","1951621","0","21684.45","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_2/1.txt"
"90","default","go-httpd","default","1","1","20","1963128","0","21812.31","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_20/1.txt"
"90","default","go-httpd","default","1","1","21","1946363","0","21626.06","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_21/1.txt"
"90","default","go-httpd","default","1","1","22","1965673","0","21840.73","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_22/1.txt"
"90","default","go-httpd","default","1","1","23","1958404","0","21759.84","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_23/1.txt"
"90","default","go-httpd","default","1","1","24","1960052","0","21778.24","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_24/1.txt"
"90","default","go-httpd","default","1","1","25","1970107","0","21890.08","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_25/1.txt"
"90","default","go-httpd","default","1","1","26","1955814","0","21731.18","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_26/1.txt"
"90","default","go-httpd","default","1","1","27","1954037","0","21711.39","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_27/1.txt"
